RESPID;Q2_How many powerboats do you currently own?;Q2_Cluster_Own a boat?;Q4_Approximately how much did you pay for your current Boat?;Q5_What is the horse power of your engine brand/current boat engine? (the boat you want to buy);Q6_Length of Boat (in Feet);Q8_How would you rate your experience regarding boating?;Q10_During your boating season, how many days out of the year do you typically use your boat;Q11_Gender;Q12_HOUSEHOLD income;Q13_Are you now married, widowed, divorced, separated, never married, or living with a partner?;Q14_Current Employment Status;Q17_Recommend;Q18_PurchaseFuture
421341;1;1;5;6;26;3;200;1;19;1;1;1;1
240978;0;0;3;6;16;2;14;1;11;5;1;0;1
421424;2;1;5;6;50;3;40;1;11;5;1;0;1
420721;0;0;2;6;20;3;100;1;10;1;1;1;1
234058;1;1;2;6;18;3;15;1;16;1;1;1;1
420264;1;1;1;6;20;3;100;2;1;5;6;0;1
227055;1;1;6;6;28;3;30;1;18;1;1;0;1
422657;1;1;4;6;23;3;60;2;11;1;1;1;1
224027;1;1;5;6;20;3;120;1;18;1;2;1;1
423246;1;1;4;6;30;2;60;1;13;5;1;0;1
228142;2;1;4;6;20;3;250;2;15;1;3;1;1
480889;1;1;11;6;50;1;15;2;1;5;1;0;1
223962;2;1;3;6;22;2;19;1;1;1;2;0;1
420881;1;1;4;6;20;2;1;2;11;1;6;0;1
479057;2;1;4;6;17;3;30;1;13;1;1;1;1
228332;1;1;4;6;21;2;25;1;19;6;1;0;1
228253;1;1;3;6;21;3;20;1;14;1;1;1;1
228448;1;1;6;6;29;3;2;1;15;5;1;0;1
5728;0;0;6;6;40;4;55;2;14;1;1;1;0
2191;2;1;8;6;9;2;30;2;17;1;1;0;0
1751;5;1;7;6;9;3;14;1;18;1;1;1;0
423002;2;1;4;6;15;2;25;1;13;1;1;0;0
8841;0;0;5;6;45;2;20;2;14;5;1;0;0
1302;1;1;4;6;26;3;34;1;17;1;1;1;0
8640;2;1;4;6;40;2;10;1;13;5;1;0;0
10613;0;0;7;6;18;3;65;1;15;1;1;0;0
235370;1;1;3;6;25;2;60;1;14;3;2;0;0
995;1;1;3;6;20;2;165;1;11;1;6;1;0
230998;1;1;4;6;21;3;25;1;18;1;1;1;0
2656;1;1;6;6;24;3;30;2;16;1;1;1;0
423198;1;1;5;6;50;2;120;1;12;1;5;0;0
2633;2;1;6;6;18;3;30;1;16;1;1;1;0
7479;1;1;8;6;20;2;20;2;18;1;7;0;0
420092;0;0;5;6;13;2;160;2;13;1;1;0;0
422886;1;1;4;6;32;3;100;1;16;1;1;0;0
2390;1;1;5;6;25;2;60;2;17;1;1;1;0
420738;4;1;3;6;24;2;90;1;12;5;1;0;0
18411;1;1;4;6;25;3;50;1;18;1;1;0;0
17986;1;1;6;6;25;2;7;1;18;1;1;0;0
3083;1;1;3;6;26;3;4;2;18;1;1;1;0
7443;1;1;6;6;20;3;90;2;14;1;1;1;0
10482;1;1;4;6;8;3;25;2;12;5;1;0;0
228878;1;1;4;6;23;2;25;2;14;1;1;0;0
20366;2;1;6;6;20;1;2;1;15;1;1;0;0
222794;2;1;2;6;20;2;30;2;17;1;1;0;0
2381;1;1;4;6;50;2;20;1;11;5;1;0;0
1814;1;1;3;6;21;2;50;2;17;1;2;1;0
15129;1;1;6;6;44;3;95;2;11;1;1;0;0
18194;0;0;3;6;20;1;360;1;12;1;2;0;0
13447;1;1;7;6;23;3;55;2;16;1;1;0;0
2410;1;1;3;6;12;2;200;1;15;1;1;1;0
2295;2;1;2;6;19;1;12;2;13;1;2;0;0
230071;1;1;1;6;22;3;20;2;14;5;4;0;0
7191;1;1;2;6;24;3;100;1;1;1;6;0;0
1398;1;1;10;6;20;2;20;2;19;1;1;0;0
2435;1;1;4;6;22;4;18;1;11;1;2;0;0
470686;1;1;4;6;15;3;23;2;1;5;1;0;0
634;2;1;10;6;20;2;4;1;16;5;1;0;0
421273;1;1;5;6;50;1;10;1;12;1;1;0;0
2540;1;1;4;6;32;2;100;1;10;6;1;0;0
16815;1;1;4;6;19;1;24;1;13;1;1;0;0
421094;1;1;8;6;25;3;100;1;18;1;1;0;0
2461;1;1;6;6;18;2;15;1;16;1;1;0;0
8061;1;1;4;6;28;4;65;1;10;1;1;0;0
229827;3;1;4;6;23;2;4;1;19;1;2;0;0
481609;1;1;4;6;21;3;100;2;13;1;1;0;0
1988;1;1;3;6;17;2;45;1;14;1;1;1;0
18071;1;1;5;6;10;2;10;2;13;1;1;1;0
18572;0;0;4;6;20;3;60;1;19;3;2;0;0
11370;1;1;8;6;22;2;35;1;16;1;1;1;0
18372;0;0;1;6;15;2;15;1;18;5;1;1;0
5141;1;1;5;6;25;3;12;1;12;5;1;0;0
15667;1;1;1;6;21;1;16;2;16;1;1;0;0
6832;1;1;5;6;24;3;25;1;13;6;1;0;0
11021;0;0;3;6;22;2;20;2;1;5;2;0;0
12902;1;1;4;6;25;2;25;1;16;1;1;0;0
424511;2;1;6;5;45;3;90;2;18;1;1;0;1
232826;1;1;7;5;28;3;30;1;17;6;1;1;1
234673;1;1;5;5;24;4;30;1;16;1;5;1;1
232753;1;1;4;5;24;2;10;2;18;1;7;1;1
420884;0;0;2;5;30;1;20;2;12;5;1;1;1
483527;1;1;3;5;22;3;12;2;12;1;2;1;1
421787;1;1;6;5;30;3;30;2;15;1;1;1;1
220699;1;1;2;5;21;2;25;1;17;1;5;0;1
482892;2;1;11;5;18;3;100;2;16;1;1;0;1
232787;1;1;5;5;30;2;45;2;17;1;1;1;1
485659;0;0;4;5;30;3;100;2;15;2;6;0;1
221057;1;1;5;5;25;3;35;1;14;3;1;0;1
220346;1;1;4;5;18;4;25;1;17;1;1;1;1
229500;1;1;4;5;20;1;90;2;18;1;1;1;1
479710;1;1;4;5;19;3;40;1;16;1;1;0;1
227809;1;1;1;5;25;2;25;1;11;5;4;1;1
221829;1;1;4;5;18;4;50;1;17;1;1;1;1
421500;0;0;7;5;18;3;275;1;14;1;1;0;1
238930;1;1;4;5;25;3;30;1;17;1;1;1;1
225358;1;1;5;5;25;4;20;1;15;6;1;1;1
240122;0;0;4;5;24;2;20;2;16;1;1;0;1
231281;2;1;2;5;12;3;35;2;13;3;1;1;1
227740;1;1;1;5;11;3;60;2;15;1;1;0;1
221866;2;1;6;5;25;2;30;2;17;5;1;1;1
233780;1;1;4;5;21;3;365;1;15;6;5;1;1
239194;1;1;5;5;28;1;35;1;19;1;1;1;1
422548;0;0;3;5;24;2;25;2;15;5;1;0;1
472678;0;0;4;5;22;1;45;1;15;1;1;0;1
220917;1;1;2;5;20;3;25;1;15;1;5;0;1
489206;0;0;6;5;28;3;60;1;16;3;1;1;1
234226;1;1;4;5;17;3;35;1;15;1;2;0;1
227463;1;1;2;5;25;2;24;2;11;1;1;0;1
230842;0;0;5;5;24;2;25;1;18;3;1;0;1
221950;1;1;4;5;25;2;15;1;16;1;1;0;1
423213;1;1;3;5;22;2;25;1;15;3;1;0;1
220438;1;1;2;5;6;1;24;2;11;1;5;0;1
240260;1;1;4;5;20;3;180;1;16;1;5;1;1
226998;1;1;8;5;27;3;75;1;17;1;5;1;1
235920;1;1;4;5;22;2;90;2;13;1;1;0;1
234190;1;1;5;5;28;4;90;2;18;1;5;1;1
235728;1;1;11;5;25;4;90;2;18;1;1;1;1
475635;0;0;2;5;22;3;60;1;1;6;6;0;1
226742;1;1;2;5;24;4;12;2;19;1;3;0;1
238104;2;1;3;5;19;3;50;1;19;6;5;0;1
226305;1;1;4;5;24;3;35;2;19;1;5;0;1
421652;1;1;6;5;42;4;100;1;17;1;1;0;1
222422;1;1;2;5;18;3;24;1;13;1;5;0;1
236515;1;1;4;5;35;2;60;2;14;6;1;0;1
471755;1;1;4;5;18;4;20;1;12;3;1;0;1
487753;0;0;4;5;15;3;60;2;1;1;1;0;1
11057;1;1;7;5;25;2;25;1;18;1;1;0;0
17121;0;0;3;5;30;2;30;1;11;5;1;1;0
19198;1;1;4;5;25;3;156;2;15;1;1;0;0
234778;1;1;7;5;29;3;20;2;13;1;1;0;0
21372;1;1;4;5;26;2;50;2;19;1;1;0;0
3886;1;1;4;5;22;2;60;2;16;1;1;0;0
8731;0;0;11;5;30;2;60;1;15;5;2;0;0
8798;1;1;5;5;30;2;33;1;17;1;1;0;0
8545;1;1;4;5;21;3;15;2;12;1;1;1;0
2187;1;1;5;5;25;2;36;1;16;1;1;1;0
1777;1;1;4;5;22;2;60;1;11;5;1;0;0
16191;0;0;3;5;24;2;35;1;13;1;1;0;0
14331;0;0;5;5;35;2;45;2;16;1;1;0;0
1726;1;1;4;5;19;3;75;1;15;1;5;1;0
12319;0;0;6;5;35;2;60;2;16;1;7;0;0
229765;0;0;6;5;24;2;25;1;19;1;1;0;0
17459;0;0;2;5;25;2;30;1;18;1;2;0;0
1793;1;1;6;5;32;3;70;1;18;1;1;1;0
20211;0;0;3;5;22;1;3;1;13;4;2;1;0
22590;1;1;7;5;28;3;220;1;15;6;2;0;0
6638;1;1;4;5;25;3;120;1;16;1;1;1;0
1027;1;1;4;5;25;3;40;2;10;1;2;1;0
2006;1;1;2;5;20;3;35;1;19;1;1;1;0
21410;1;1;5;5;42;3;100;2;18;6;1;0;0
233527;2;1;5;5;22;2;22;1;10;1;1;1;0
13781;0;0;4;5;30;2;90;1;14;5;1;0;0
21450;1;1;7;5;50;3;75;2;15;1;5;0;0
8878;1;1;3;5;20;3;76;1;17;1;1;0;0
23694;0;0;5;5;28;2;35;1;18;1;1;0;0
484691;1;1;4;5;21;3;20;2;10;3;2;0;0
17251;1;1;9;5;45;2;25;1;17;1;1;1;0
14879;0;0;4;5;24;3;100;1;14;3;5;0;0
5930;0;0;4;5;14;2;25;1;15;1;1;0;0
8058;1;1;4;5;25;3;180;1;16;1;1;0;0
13861;1;1;4;5;18;3;20;1;12;1;2;0;0
223082;1;1;3;5;20;3;30;1;16;6;1;0;0
2146;1;1;4;5;22;3;20;2;15;1;5;1;0
11684;1;1;4;5;14;2;26;1;1;5;1;0;0
1320;1;1;4;5;18;3;30;1;12;1;1;0;0
1943;2;1;5;5;18;3;75;2;16;1;2;0;0
5639;0;0;4;5;22;2;70;2;12;5;1;1;0
1412;1;1;4;5;20;4;45;2;12;1;6;1;0
3478;1;1;6;5;24;3;50;1;16;1;6;1;0
768;0;0;4;5;28;3;120;1;16;1;2;1;0
5139;1;1;4;5;18;4;32;2;16;1;1;1;0
2255;1;1;7;5;27;4;44;1;18;1;1;0;0
3313;1;1;6;5;30;2;50;2;16;1;1;0;0
2607;1;1;3;5;22;2;45;1;15;1;1;0;0
1928;1;1;3;5;20;3;25;2;14;1;1;0;0
2422;1;1;2;5;20;3;100;2;17;1;2;1;0
1419;1;1;3;5;21;2;30;2;11;3;1;0;0
8485;0;0;9;5;30;3;50;1;17;5;2;0;0
18517;0;0;2;5;24;2;20;1;1;5;2;0;0
3078;2;1;8;5;39;4;30;1;15;1;5;0;0
423202;0;0;4;5;12;2;55;2;15;5;1;1;1
471739;0;0;7;5;25;1;25;2;16;1;1;1;1
226285;0;0;5;5;25;2;45;1;15;1;1;1;1
470422;1;1;2;5;25;1;20;2;13;1;1;1;1
478081;0;0;1;5;17;3;30;1;11;3;1;1;1
231390;0;0;5;5;21;2;25;2;17;1;1;0;1
