ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,geq 3 FPP Date,geq 10 FPP Date,geq 20 FPP Date,geq 35 FPP Date
737,9,,,,40487,40498,40511,40511
738,10,,,,40277,40292,40317,
739,10,10,2,,40324,40330,,
740,8,,,,40289,40316,,
741,9,,10,,40328,40445,40456,40477
742,9,,10,,40465,,,
743,,,5,8,40425,40441,40448,40457
744,,10,10,9,40329,40330,40457,
745,10,9,10,9,40323,40330,40337,
746,10,,10,,40294,40328,40414,
747,,,10,9,40322,40330,40459,40488
748,,10,,10,40450,,,
749,9,10,,,40324,,,
750,9,,,8,40294,,,
751,8,8,9,7,40331,,,
752,10,,10,,40322,40455,,
753,,,,,40323,,,
754,10,,10,10,40325,,,
755,10,,,9,40293,40437,40447,40606
