ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,geq 3 FPP Date,geq 10 FPP Date,geq 20 FPP Date,geq 35 FPP Date
2279,10,,,,40448,,,
2280,10,,,,40452,40455,,
2281,,,,,40326,,,
2282,10,,10,,40247,40248,40248,
2283,10,,,,40445,40466,,
2284,,10,10,,40330,40489,,
2285,10,10,,10,40479,40494,,
2286,10,,,,40510,40515,40520,
2287,,,,,40476,,,
2288,8,,,,40459,,,
2289,10,,,,40497,,,
2290,10,,,,40491,,,
2291,,,,,40497,,,
2292,10,10,10,10,40331,40457,40515,
2293,10,,9,,40281,40281,40281,40285
2294,,,,,40327,,,
2295,10,,,,40280,40329,40486,
2296,9,,,,40475,,,
2297,8,,,,40322,40341,,
2298,9,,,,40319,,,
2299,,9,,,40500,,,
2300,,,,,40337,40478,,
2301,,,,,40273,40455,,
2302,8,,,,40480,,,
2303,8,,,,40486,,,
2304,,10,,,40463,40550,,
2305,10,,,,40517,40525,40527,40558
2306,,10,,,40294,40295,40295,
2307,,,,,40330,,,
2308,9,,,,40295,40308,,
2309,10,,,,40464,40479,,
2310,7,,,,40337,40456,,
2311,10,9,,9,40302,40448,,
2312,10,,,,40319,40647,,
2313,8,,,,40338,40338,,
2314,10,10,10,10,40452,,,
2315,10,,10,,40513,,,
2316,10,,,10,40464,40591,,
2317,,10,,10,,,,
2318,10,10,10,10,40305,,,
2319,,9,,10,40710,,,
2320,,,,10,40451,40470,40584,
2321,10,,10,,40317,40325,40329,40330
2322,10,,,,40535,40547,40549,40551
2323,10,,,,40446,40447,40451,40468
2324,10,,10,10,40313,40326,40330,
2325,,,10,,40327,,,
2326,10,,,,40318,40323,40323,
2327,9,,,,40333,,,
2328,10,,10,,40298,40343,,
2329,,,,,40318,,,
2330,9,,,,40252,,,
2331,10,,10,,40470,40500,,
2332,9,,,,40295,40305,,
2333,,,,,40469,,,
2334,10,,,,40318,,,
2335,,5,5,,40471,40478,40483,
2336,10,9,,,40471,40501,,
2337,6,,,,40263,40637,,
2338,9,9,9,7,40310,40322,40326,40336
2339,8,,,,40327,40336,40337,40338
2340,8,,,,40329,40332,40480,
2341,10,10,,,40436,40496,,
2342,,,,,40472,40473,,
2343,10,,9,,40363,,,
2344,10,,,,40251,,,
2345,,,,,40329,,,
2346,10,9,8,,40483,40499,,
2347,10,,,8,40490,40495,40500,40501
2348,10,9,10,9,40452,40464,,
2349,9,9,9,9,40465,40474,40481,40485
2350,10,,,,40284,40295,40696,
2351,10,,,,40322,40332,,
2352,10,10,10,,40337,40423,40439,40451
2353,10,10,9,,40452,40464,40480,
2354,,,,,40330,40339,,
2355,10,,7,,40482,40491,,
2356,9,,,8,40336,,,
2357,10,,,,40329,40459,,
2358,6,,7,,40330,40466,,
2359,9,,,,40324,40337,,
2360,10,,10,10,40574,40581,40703,
2361,,,,,40455,,,
2362,,,,,40553,,,
2363,10,10,10,10,40457,40469,40590,
2364,,,10,,40478,40483,40491,
2365,8,,,,40326,40333,,
2366,10,,10,10,40313,40322,40329,40360
2367,9,,,,40311,40329,40336,40616
2368,10,,10,,40457,,,
2369,10,9,,,40466,,,
2370,8,,,,40332,40472,,
2371,10,9,,,40321,40329,,
2372,10,,,,40323,40330,,
2373,10,10,10,10,40331,40455,40473,
2374,10,,3,,40464,,,
2375,9,,,,40466,,,
2376,10,,10,,40501,,,
2377,10,,10,,40467,40481,40492,
2378,,,,,40329,40330,40450,40461
2379,10,10,10,10,40459,40470,40477,
2380,9,10,,9,40326,,,
2381,10,,,,40437,40447,40451,
2382,7,10,9,,40498,,,
2383,,,,,40497,40513,,
2384,10,,,,40410,40411,40413,
2385,9,10,9,9,40517,40525,40527,40661
2386,10,10,10,,40349,40463,40491,
2387,10,,,,40616,40616,40617,
2389,10,9,8,,40447,40455,40459,
2388,5,,,,40448,40529,,
